name,slug,value,date_of_information,ranking,region
"Yemen","yemen","30,984,689","2022 est.","48","Middle East"
"Nepal","nepal","30,666,598","2022 est.","49","South Asia"
"Venezuela","venezuela","29,789,730","2022 est.","50","South America"
"Cameroon","cameroon","29,321,637","2022 est.","51","Africa"
"Cote d'Ivoire","cote-divoire","28,713,423","2022 est.","52","Africa"
"Madagascar","madagascar","28,172,462","2022 est.","53","Africa"
"Australia","australia","26,141,369","2022 est.","54","Australia and Oceania"
"Korea, North","korea-north","25,955,138","2022 est.","55","East and Southeast Asia"
"Niger","niger","24,484,587","2022 est.","56","Africa"
"Taiwan","taiwan","23,580,712","2022 est.","57","East and Southeast Asia"
"Sri Lanka","sri-lanka","23,187,516","2022 est.","58","South Asia"
"Burkina Faso","burkina-faso","21,935,389","2022 est.","59","Africa"
"Syria","syria","21,563,800","2022 est.","60","Middle East"
"Malawi","malawi","20,794,353","2022 est.","61","Africa"
"Mali","mali","20,741,769","2022 est.","62","Africa"
"Zambia","zambia","19,642,123","2022 est.","63","Africa"
"Kazakhstan","kazakhstan","19,398,331","2022 est.","64","Central Asia"
"Romania","romania","18,519,899","2022 est.","65","Europe"
"Chile","chile","18,430,408","2022 est.","66","South America"
"Chad","chad","17,963,211","2022 est.","67","Africa"
"Senegal","senegal","17,923,036","2022 est.","68","Africa"
"Guatemala","guatemala","17,703,190","2022 est.","69","Central America and the Caribbean"
"Netherlands","netherlands","17,400,824","2022 est.","70","Europe"
"Ecuador","ecuador","17,289,554","2022 est.","71","South America"
"Cambodia","cambodia","16,713,015","2022 est.","72","East and Southeast Asia"
"Zimbabwe","zimbabwe","15,121,004","2022 est.","73","Africa"
"Benin","benin","13,754,688","2022 est.","74","Africa"
"Guinea","guinea","13,237,832","2022 est.","75","Africa"
"Rwanda","rwanda","13,173,730","2022 est.","76","Africa"
"Burundi","burundi","12,696,478","2022 est.","77","Africa"
"Somalia","somalia","12,386,248","2022 est.","78","Africa"
"Bolivia","bolivia","12,054,379","2022 est.","79","South America"
"Tunisia","tunisia","11,896,972","2022 est.","80","Africa"
"Belgium","belgium","11,847,338","2022 est.","81","Europe"
"South Sudan","south-sudan","11,544,905","2022 est.","82","Africa"
"Haiti","haiti","11,334,637","2022 est.","83","Central America and the Caribbean"
"Cuba","cuba","11,008,112","2022 est.","84","Central America and the Caribbean"
"Jordan","jordan","10,998,531","2022 est.","85","Middle East"
"Czechia","czechia","10,705,384","2022 est.","86","Europe"
"Dominican Republic","dominican-republic","10,694,700","2022 est.","87","Central America and the Caribbean"
"Greece","greece","10,533,871","2022 est.","88","Europe"
"Sweden","sweden","10,483,647","2022 est.","89","Europe"
"Azerbaijan","azerbaijan","10,353,296","2022 est.","90","Middle East"
"Portugal","portugal","10,242,081","2022 est.","91","Europe"
"United Arab Emirates","united-arab-emirates","9,915,803","2022 est.","92","Middle East"
"Hungary","hungary","9,699,577","2022 est.","93","Europe"
"Papua New Guinea","papua-new-guinea","9,593,498","2022 est.","94","East and Southeast Asia"
"Honduras","honduras","9,459,440","2022 est.","95","Central America and the Caribbean"
"Belarus","belarus","9,413,505","2022 est.","96","Europe"
"Tajikistan","tajikistan","9,119,347","2022 est.","97","Central Asia"
"Israel","israel","8,914,885","2022 est.","98","Middle East"
"Austria","austria","8,913,088","2022 est.","99","Europe"
"Sierra Leone","sierra-leone","8,692,606","2022 est.","100","Africa"
"Switzerland","switzerland","8,508,698","2022 est.","101","Europe"
